ISO_Code;Year;Irrigation_Proxy
ESP;1986;0.205410816
ESP;1987;0.224065378
ESP;1988;0.248912951
ESP;1989;0.250713156
ESP;1990;0.279236364
ESP;1991;0.290247814
ESP;1992;0.26859337
ESP;1993;0.295751528
ESP;1994;0.311495846
ESP;1995;0.310758105
ESP;1996;0.37353192
ESP;1997;0.39296001
ESP;1998;0.41702875
ESP;1999;0.420766241
ESP;2000;0.439712299
ESP;2001;0.462442889
ESP;2002;0.463809584
ESP;2003;0.472103288
ESP;2004;0.451296293
ESP;2005;0.382803994
ESP;2006;0.365538489
ESP;2007;0.393769997
ESP;2008;0.372111084
ESP;2009;0.316452926
ESP;2010;0.344154048
ESP;2011;0.347065254
ESP;2012;0.334811301
ESP;2013;0.385354081
ESP;2014;0.369872776
ESP;2015;0.444376417
ESP;2016;0.487039151
ESP;2017;0.510097936
ESP;2018;0.538474112
ESP;2019;0.496545405
ESP;2020;0.507031547
ESP;2021;0.524006965
ESP;2022;0.474597664
FRA;2003;1.172349061
FRA;2004;1.198352411
FRA;2005;1.153942769
FRA;2006;1.003550875
FRA;2007;1.252738647
FRA;2008;1.796610506
FRA;2009;1.282957483
FRA;2010;1.679173388
FRA;2011;1.708044181
FRA;2012;1.707924793
FRA;2013;1.556506293
FRA;2014;2.177596326
FRA;2015;1.478002315
FRA;2016;1.364822472
FRA;2017;1.696083665
FRA;2018;1.938197274
FRA;2019;1.813683911
FRA;2020;1.701025722
FRA;2021;2.535598769
FRA;2022;3.073997813
GRC;1990;0.577256108
GRC;1991;0.674922579
GRC;1992;0.615491388
GRC;1993;0.60525332
GRC;1994;0.685052281
GRC;1995;0.692289045
GRC;1996;0.641785331
GRC;1997;0.641560215
GRC;1998;0.599523152
GRC;1999;0.565942732
GRC;2000;0.523791491
GRC;2001;0.546123283
GRC;2002;0.595066371
GRC;2003;0.640784243
GRC;2004;0.577210591
GRC;2005;0.584066162
GRC;2006;0.473344581
GRC;2007;0.462616081
GRC;2008;0.428992018
GRC;2009;0.378932586
GRC;2010;0.34825317
GRC;2011;0.341877608
GRC;2012;0.365268156
GRC;2013;0.363413322
GRC;2014;0.390031249
GRC;2015;0.423098273
GRC;2016;0.394384828
GRC;2017;0.463498983
GRC;2018;0.468512798
GRC;2019;0.525202823
GRC;2020;0.536571605
GRC;2021;0.519528453
GRC;2022;0.553330314
ITA;1990;0.76078001
ITA;1991;0.800721352
ITA;1992;0.789754224
ITA;1993;0.768063839
ITA;1994;0.80655474
ITA;1995;0.852962057
ITA;1996;0.991538388
ITA;1997;1.093229484
ITA;1998;0.984087905
ITA;1999;0.908643657
ITA;2000;0.779929328
ITA;2001;0.827871932
ITA;2002;0.894664479
ITA;2003;1.005414959
ITA;2004;1.068536451
ITA;2005;0.986503752
ITA;2006;1.068215471
ITA;2007;1.178898212
ITA;2008;1.065291681
ITA;2009;0.901344577
ITA;2010;0.839944079
ITA;2011;0.919653903
ITA;2012;0.952745512
ITA;2013;1.034863712
ITA;2014;0.934052691
ITA;2015;0.941372555
ITA;2016;0.859915293
ITA;2017;0.984504335
ITA;2018;1.048575954
ITA;2019;0.975151827
ITA;2020;0.001008347
ITA;2021;0.001149472
ITA;2022;0.001193215
PRT;1991;0.628225275
PRT;1992;0.378418512
PRT;1993;0.278195559
PRT;1994;0.210486658
PRT;1995;0.197943445
PRT;1996;0.196292035
PRT;1997;0.171287466
PRT;1998;0.166172648
PRT;1999;0.158044245
PRT;2000;0.15262423
PRT;2001;0.14545433
PRT;2002;0.1320523
PRT;2003;0.124443751
PRT;2004;0.190215392
PRT;2005;0.229076107
PRT;2006;0.239196882
PRT;2007;0.228826642
PRT;2008;0.229620197
PRT;2009;0.24712537
PRT;2010;0.27851405
PRT;2011;0.274326184
PRT;2012;0.293099484
PRT;2013;0.336843009
PRT;2014;0.363406912
PRT;2015;0.405809717
PRT;2016;0.45331965
PRT;2017;0.51633934
PRT;2018;0.516016283
PRT;2019;0.543393858
PRT;2020;0.518662115
PRT;2021;0.542474646
PRT;2022;0.499854455
ROU;2003;0.759838905
ROU;2004;1.015846831
ROU;2005;0.383907281
ROU;2006;0.546903574
ROU;2007;0.260058137
ROU;2008;0.32964086
ROU;2009;0.242437226
ROU;2010;0.265136834
ROU;2011;0.260343916
ROU;2012;0.18942612
ROU;2013;0.234689009
ROU;2014;0.242102424
ROU;2015;0.200891159
ROU;2016;0.1884782
ROU;2017;0.275011813
ROU;2018;0.341486351
ROU;2019;0.317877446
ROU;2020;0.34968832
ROU;2021;0.282414039
ROU;2022;0.365930783
