Pays;Year;Irrig_Rate
Greece;2005;40.0
Greece;2007;38.2
Greece;2010;37.5
Greece;2013;31.2
Greece;2016;29.7
Greece;2020;30.7
Greece;2023;23.7
Spain;2005;15.1
Spain;2007;14.7
Spain;2010;15.2
Spain;2013;15.2
Spain;2016;15.7
Spain;2020;15.0
Spain;2023;15.0
France;2005;9.8
France;2007;9.7
France;2010;8.4
France;2013;10.1
France;2016;9.7
France;2020;10.5
France;2023;10.3
Italy;2005;31.3
Italy;2007;31.0
Italy;2010;29.1
Italy;2013;33.1
Italy;2016;32.6
Italy;2020;28.7
Italy;2023;29.1
Portugal;2005;16.8
Portugal;2007;16.8
Portugal;2010;14.7
Portugal;2013;15.2
Portugal;2016;15.1
Portugal;2020;14.3
Portugal;2023;16.5
Romania;2005;5.8
Romania;2007;4.5
Romania;2010;3.1
Romania;2013;1.8
Romania;2016;2.7
Romania;2020;4.4
Romania;2023;3.9
Greece;2005;32.9
Greece;2007;31.4
Greece;2010;29.7
Greece;2013;24.0
Greece;2016;23.6
Greece;2023;20.4
Spain;2005;13.5
Spain;2007;13.1
Spain;2010;12.8
Spain;2013;12.4
Spain;2016;13.2
Spain;2023;11.7
France;2005;6.1
France;2007;5.5
France;2010;5.7
France;2013;5.1
France;2016;4.9
France;2023;5.6
Italy;2005;20.6
Italy;2007;20.9
Italy;2010;18.7
Italy;2013;23.7
Italy;2016;20.2
Italy;2023;17.9
Portugal;2005;12.3
Portugal;2007;12.1
Portugal;2010;12.7
Portugal;2013;13.1
Portugal;2016;13.0
Portugal;2023;15.2
Romania;2005;0.6
Romania;2007;1.3
Romania;2010;1.0
Romania;2013;1.2
Romania;2016;1.9
Romania;2023;3.5
